"Years","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Households (Items)","34949000",,,,,,,"39107000","40532000","42182000","43554000","44673000","45538000","46385000","46962000","47874000","48902000","49673000","50474000","51435000","52799000","53557000","54764000","55270000","56149000","57436000","58406000","59236000","60813000","62214000","63401000","64778000","66676000","68251000","69859000","71120000","72867000","74142000","76030000","77330000","80776000","82368000","83527000","83918000","85290000","86789000","88458000","89479000","91124000","92830000","93347000","94312000","95669000","96426000","97107000","98990000","99627000","101018000","102528000","103874000","104705000","108209000","109297000","111278000","112000000","113343000","114384000","116011000","116783000","117181000","117538000","119927000","121084000","122459000","123229000","124587000","125819000","126224000","127586000","128579000"
"    By type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Married family (Items)","26571000",,,,,,,"30612000","31900000","33257000","34075000","34391000","35164000","35577000","35926000","36251000","37047000","37718000","37911000","38410000","39254000","39620000","40404000","40888000","41341000","41689000","42263000","42743000","43507000","44086000","44728000","44928000","45724000","46297000","46787000","46951000","47297000","47471000","47357000","47662000","49112000","49294000","49630000","49908000","50081000","50350000","50933000","51537000","51675000","52100000","52317000","52147000","52457000","53090000","53171000","53858000","53567000","53604000","54317000","54770000","55311000","56592000","56747000","57320000","57719000","57975000","58179000","58945000","58370000","59118000","58410000","58656000","58949000","59204000","59629000","60010000","60251000","60804000","61241000","61959000"
"        Other family (Items)","4920000",,,,,,,"4352000","4729000","4823000","4763000","5111000","5071000","4963000","5072000","5481000","5546000","5545000","5515000","5561000","5650000","5763000","5858000","5984000","6040000","6149000","6136000","6343000","6505000","6643000","6728000","7174000","7439000","7967000","8130000","8612000","8759000","9001000","9601000","9836000","10438000","11015000","11389000","11485000","11934000","12357000","12625000","12955000","13530000","13737000","13774000","14175000","14717000","15126000","15319000","15446000","16027000","16637000","16563000","16765000","16715000","17175000","17581000","18276000","18497000","18882000","19223000","19479000","19504000","19732000","20423000","20883000","21557000","21698000","21724000","21706000","21932000","22024000","21847000","21523000"
"            By Gender",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Male Householder (Items)","1510000",,,,,,,"1129000","1020000","1197000","1169000","1154000","1119000","1206000","1315000","1328000","1408000","1241000","1278000","1285000","1228000","1199000","1268000","1295000","1204000","1167000","1163000","1190000","1195000","1221000","1228000","1254000","1331000","1432000","1421000","1485000","1424000","1461000","1564000","1616000","1733000","1933000","1986000","2016000","2038000","2228000","2414000","2510000","2834000","2847000","2884000","2907000","3025000","3065000","2913000","3226000","3513000","3847000","3911000","3976000","4028000","4275000","4438000","4656000","4716000","4901000","5130000","5063000","5100000","5252000","5580000","5648000","5888000","6229000","6304000","6162000","6310000","6452000","6424000","6480000"
"                Female Householder (Items)","3410000",,,,,,,"3223000","3709000","3626000","3594000","3957000","3952000","3757000","3757000","4153000","4138000","4304000","4237000","4276000","4422000","4564000","4590000","4689000","4836000","4982000","4973000","5153000","5310000","5422000","5500000","5920000","6108000","6535000","6709000","7127000","7335000","7540000","8037000","8220000","8705000","9082000","9403000","9469000","9896000","10129000","10211000","10445000","10696000","10890000","10890000","11268000","11692000","12061000","12406000","12220000","12514000","12790000","12652000","12789000","12687000","12900000","13143000","13620000","13781000","13981000","14093000","14416000","14404000","14480000","14843000","15235000","15669000","15469000","15420000","15544000","15622000","15572000","15423000","15043000"
"        Non-family (Items)","3458000",,,,,,,"4143000","3903000","4102000","4716000","5171000","5303000","5845000","5964000","6142000","6309000","6411000","7047000","7464000","7895000","8174000","8502000","8398000","8768000","9598000","10007000","10150000","10801000","11485000","11945000","12676000","13513000","13986000","14942000","15557000","16811000","17669000","19071000","19831000","21226000","22059000","22508000","22525000","23276000","24082000","24900000","24988000","25919000","26994000","27257000","27990000","28496000","28210000","28617000","29686000","30033000","30777000","31648000","32339000","32680000","34442000","34969000","35682000","35783000","36485000","36982000","37587000","38910000","38331000","38705000","40388000","40578000","41558000","41877000","42871000","43635000","43396000","44498000","45096000"
"            By Gender",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Male Householder (Items)","1599000",,,,,,,"1388000","1198000","1308000","1668000","1732000","1757000","1902000","1925000","2059000","2058000","2038000","2329000","2449000","2716000","2779000","2932000","2838000","2965000","3277000","3299000","3419000","3658000","3890000","4063000","4403000","4839000","5129000","5654000","5912000","6548000","6971000","7811000","8064000","8807000","9279000","9457000","9514000","9689000","10114000","10648000","10652000","11282000","11874000","11606000","12150000","12428000","12297000","12462000","13190000","13348000","13707000","14133000","14368000","14641000","15345000","15579000","16020000","16136000","16543000","16753000","17338000","17872000","17694000","18263000","18968000","19195000","19747000","19658000","20143000","20542000","20539000","21017000","21582000"
"                Female Householder (Items)","1859000",,,,,,,"2755000","2705000","2794000","3048000","3439000","3546000","3943000","4039000","4083000","4250000","4374000","4718000","5015000","5179000","5395000","5570000","5560000","5803000","6321000","6708000","6731000","7143000","7595000","7882000","8273000","8674000","8858000","9288000","9645000","10263000","10698000","11261000","11767000","12419000","12780000","13051000","13011000","13587000","13968000","14252000","14336000","14637000","15120000","15651000","15840000","16068000","15914000","16155000","16496000","16685000","17070000","17516000","17971000","18039000","19097000","19390000","19662000","19647000","19942000","20230000","20249000","21038000","20637000","20442000","21420000","21383000","21810000","22219000","22728000","23093000","22858000","23481000","23515000"
"    By race/ethnicity of householder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        White (Items)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56602","57575","59463","60618","61965","62945","64392","65353","66934","68028","70766","71872","72845","73182","74376","75328","76576","77284","78469","79734","80163","80968","81675","82083","82387","83737","84511","85059","86106","87212","87671","90030","90682","91645","91962","92880","93588","94705","95112","95297","95489","96144","96306","96964","97705","98052","98679","99313","99400","100065"
"        White alone or in combination with one or more other races (Items)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92740","93196","94228","94910","95946","96403","96601","96823","97574","97936","98551","99273","99734","100263","100990","101183","101934"
"        Black (Items)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6223","6180","6578","6809","7040","7262","7486","7776","7977","8066","8586","8847","8961","8916","9236","9480","9797","9922","10186","10561","10486","10671","11083","11190","11281","11655","11577","12109","12474","12579","12849","13174","13315","13465","13629","13809","14002","14354","14551","14595","14730","15065","15265","15583","15872","16064","16437","16539","16733","16997"
"        Black alone or in combination with one or more other races (Items)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13778","13969","14151","14399","14709","14976","15056","15212","15613","15909","16165","16559","16821","17198","17322","17505","17801"
"        Asian alone (Items)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3917","4040","4123","4273","4454","4494","4573","4687","4747","5212","5374","5560","5749","6040","6328","6392","6735"
"        Hispanic (Items)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2948","3081","3304","3291","3684","3906","3980","4085","4326","4883","5213","5418","5698","5910","5933","6220","6379","6626","7362","7735","7939","8225","8590","9060","9319","10034","10499","11339","11692","12178","12519","12973","13339","13425","13298","13665","14435","14939","15589","15874","16239","16667","16915","17318"

"Sources:"
,"Agency","Source","Table","Url","Direct Link","Updated","Update Schedule"
,"Census Bureau","Current Population Survey, Historical Households Tables, Table HH-1","Households by Type: 1940 to Present","https://www.census.gov/data/tables/time-series/demo/families/households.html",,"2019","Annual"
"Exported on: 12/21/2020"
