,County Name,State
0,Statewide Unallocated,AL
1,Autauga County,AL
2,Baldwin County,AL
3,Barbour County,AL
4,Bibb County,AL
5,Blount County,AL
6,Bullock County,AL
7,Butler County,AL
8,Calhoun County,AL
9,Chambers County,AL
10,Cherokee County,AL
11,Chilton County,AL
12,Choctaw County,AL
13,Clarke County,AL
14,Clay County,AL
15,Cleburne County,AL
16,Coffee County,AL
17,Colbert County,AL
18,Conecuh County,AL
19,Coosa County,AL
20,Covington County,AL
21,Crenshaw County,AL
22,Cullman County,AL
23,Dale County,AL
24,Dallas County,AL
25,DeKalb County,AL
26,Elmore County,AL
27,Escambia County,AL
28,Etowah County,AL
29,Fayette County,AL
30,Franklin County,AL
31,Geneva County,AL
32,Greene County,AL
33,Hale County,AL
34,Henry County,AL
35,Houston County,AL
36,Jackson County,AL
37,Jefferson County,AL
38,Lamar County,AL
39,Lauderdale County,AL
40,Lawrence County,AL
41,Lee County,AL
42,Limestone County,AL
43,Lowndes County,AL
44,Macon County,AL
45,Madison County,AL
46,Marengo County,AL
47,Marion County,AL
48,Marshall County,AL
49,Mobile County,AL
50,Monroe County,AL
51,Montgomery County,AL
52,Morgan County,AL
53,Perry County,AL
54,Pickens County,AL
55,Pike County,AL
56,Randolph County,AL
57,Russell County,AL
58,St. Clair County,AL
59,Shelby County,AL
60,Sumter County,AL
61,Talladega County,AL
62,Tallapoosa County,AL
63,Tuscaloosa County,AL
64,Walker County,AL
65,Washington County,AL
66,Wilcox County,AL
67,Winston County,AL
68,Statewide Unallocated,AK
69,Aleutians East Borough,AK
70,Aleutians West Census Area,AK
71,Municipality of Anchorage,AK
72,Bethel Census Area,AK
73,Bristol Bay Borough,AK
74,Denali Borough,AK
75,Dillingham Census Area,AK
76,Fairbanks North Star Borough,AK
77,Haines Borough,AK
78,Hoonah-Angoon Census Area,AK
79,City and Borough of Juneau,AK
80,Kenai Peninsula Borough,AK
81,Ketchikan Gateway Borough,AK
82,Kodiak Island Borough,AK
83,Kusilvak Census Area,AK
84,Lake and Peninsula Borough,AK
85,Matanuska-Susitna Borough,AK
86,Nome Census Area,AK
87,North Slope Borough,AK
88,Northwest Arctic Borough,AK
89,Petersburg Census Area,AK
90,Prince of Wales-Hyder Census Area,AK
91,Sitka City and Borough,AK
92,Skagway Municipality,AK
93,Southeast Fairbanks Census Area,AK
94,Valdez-Cordova Census Area,AK
95,Wade Hampton Census Area,AK
96,Wrangell City and Borough,AK
97,Yakutat City and Borough,AK
98,Yukon-Koyukuk Census Area,AK
99,Statewide Unallocated,AZ
100,Apache County,AZ
101,Cochise County,AZ
102,Coconino County,AZ
103,Gila County,AZ
104,Graham County,AZ
105,Greenlee County,AZ
106,La Paz County,AZ
107,Maricopa County,AZ
108,Mohave County,AZ
109,Navajo County,AZ
110,Pima County,AZ
111,Pinal County,AZ
112,Santa Cruz County,AZ
113,Yavapai County,AZ
114,Yuma County,AZ
115,Statewide Unallocated,AR
116,Arkansas County,AR
117,Ashley County,AR
118,Baxter County,AR
119,Benton County,AR
120,Boone County,AR
121,Bradley County,AR
122,Calhoun County,AR
123,Carroll County,AR
124,Chicot County,AR
125,Clark County,AR
126,Clay County,AR
127,Cleburne County,AR
128,Cleveland County,AR
129,Columbia County,AR
130,Conway County,AR
131,Craighead County,AR
132,Crawford County,AR
133,Crittenden County,AR
134,Cross County,AR
135,Dallas County,AR
136,Desha County,AR
137,Drew County,AR
138,Faulkner County,AR
139,Franklin County,AR
140,Fulton County,AR
141,Garland County,AR
142,Grant County,AR
143,Greene County,AR
144,Hempstead County,AR
145,Hot Spring County,AR
146,Howard County,AR
147,Independence County,AR
148,Izard County,AR
149,Jackson County,AR
150,Jefferson County,AR
151,Johnson County,AR
152,Lafayette County,AR
153,Lawrence County,AR
154,Lee County,AR
155,Lincoln County,AR
156,Little River County,AR
157,Logan County,AR
158,Lonoke County,AR
159,Madison County,AR
160,Marion County,AR
161,Miller County,AR
162,Mississippi County,AR
163,Monroe County,AR
164,Montgomery County,AR
165,Nevada County,AR
166,Newton County,AR
167,Ouachita County,AR
168,Perry County,AR
169,Phillips County,AR
170,Pike County,AR
171,Poinsett County,AR
172,Polk County,AR
173,Pope County,AR
174,Prairie County,AR
175,Pulaski County,AR
176,Randolph County,AR
177,St. Francis County,AR
178,Saline County,AR
179,Scott County,AR
180,Searcy County,AR
181,Sebastian County,AR
182,Sevier County,AR
183,Sharp County,AR
184,Stone County,AR
185,Union County,AR
186,Van Buren County,AR
187,Washington County,AR
188,White County,AR
189,Woodruff County,AR
190,Yell County,AR
191,Statewide Unallocated,CA
192,Grand Princess Cruise Ship,CA
193,Alameda County,CA
194,Alpine County,CA
195,Amador County,CA
196,Butte County,CA
197,Calaveras County,CA
198,Colusa County,CA
199,Contra Costa County,CA
200,Del Norte County,CA
201,El Dorado County,CA
202,Fresno County,CA
203,Glenn County,CA
204,Humboldt County,CA
205,Imperial County,CA
206,Inyo County,CA
207,Kern County,CA
208,Kings County,CA
209,Lake County,CA
210,Lassen County,CA
211,Los Angeles County,CA
212,Madera County,CA
213,Marin County,CA
214,Mariposa County,CA
215,Mendocino County,CA
216,Merced County,CA
217,Modoc County,CA
218,Mono County,CA
219,Monterey County,CA
220,Napa County,CA
221,Nevada County,CA
222,Orange County,CA
223,Placer County,CA
224,Plumas County,CA
225,Riverside County,CA
226,Sacramento County,CA
227,San Benito County,CA
228,San Bernardino County,CA
229,San Diego County,CA
230,San Francisco County,CA
231,San Joaquin County,CA
232,San Luis Obispo County,CA
233,San Mateo County,CA
234,Santa Barbara County,CA
235,Santa Clara County,CA
236,Santa Cruz County,CA
237,Shasta County,CA
238,Sierra County,CA
239,Siskiyou County,CA
240,Solano County,CA
241,Sonoma County,CA
242,Stanislaus County,CA
243,Sutter County,CA
244,Tehama County,CA
245,Trinity County,CA
246,Tulare County,CA
247,Tuolumne County,CA
248,Ventura County,CA
249,Yolo County,CA
250,Yuba County,CA
251,Statewide Unallocated,CO
252,Adams County,CO
253,Alamosa County,CO
254,Arapahoe County,CO
255,Archuleta County,CO
256,Baca County,CO
257,Bent County,CO
258,Boulder County,CO
259,Broomfield County and City,CO
260,Chaffee County,CO
261,Cheyenne County,CO
262,Clear Creek County,CO
263,Conejos County,CO
264,Costilla County,CO
265,Crowley County,CO
266,Custer County,CO
267,Delta County,CO
268,Denver County,CO
269,Dolores County,CO
270,Douglas County,CO
271,Eagle County,CO
272,Elbert County,CO
273,El Paso County,CO
274,Fremont County,CO
275,Garfield County,CO
276,Gilpin County,CO
277,Grand County,CO
278,Gunnison County,CO
279,Hinsdale County,CO
280,Huerfano County,CO
281,Jackson County,CO
282,Jefferson County,CO
283,Kiowa County,CO
284,Kit Carson County,CO
285,Lake County,CO
286,La Plata County,CO
287,Larimer County,CO
288,Las Animas County,CO
289,Lincoln County,CO
290,Logan County,CO
291,Mesa County,CO
292,Mineral County,CO
293,Moffat County,CO
294,Montezuma County,CO
295,Montrose County,CO
296,Morgan County,CO
297,Otero County,CO
298,Ouray County,CO
299,Park County,CO
300,Phillips County,CO
301,Pitkin County,CO
302,Prowers County,CO
303,Pueblo County,CO
304,Rio Blanco County,CO
305,Rio Grande County,CO
306,Routt County,CO
307,Saguache County,CO
308,San Juan County,CO
309,San Miguel County,CO
310,Sedgwick County,CO
311,Summit County,CO
312,Teller County,CO
313,Washington County,CO
314,Weld County,CO
315,Yuma County,CO
316,Statewide Unallocated,CT
317,Fairfield County,CT
318,Hartford County,CT
319,Litchfield County,CT
320,Middlesex County,CT
321,New Haven County,CT
322,New London County,CT
323,Tolland County,CT
324,Windham County,CT
325,Statewide Unallocated,DE
326,Kent County,DE
327,New Castle County,DE
328,Sussex County,DE
329,Washington,DC
330,Statewide Unallocated,FL
331,Alachua County,FL
332,Baker County,FL
333,Bay County,FL
334,Bradford County,FL
335,Brevard County,FL
336,Broward County,FL
337,Calhoun County,FL
338,Charlotte County,FL
339,Citrus County,FL
340,Clay County,FL
341,Collier County,FL
342,Columbia County,FL
343,DeSoto County,FL
344,Dixie County,FL
345,Duval County,FL
346,Escambia County,FL
347,Flagler County,FL
348,Franklin County,FL
349,Gadsden County,FL
350,Gilchrist County,FL
351,Glades County,FL
352,Gulf County,FL
353,Hamilton County,FL
354,Hardee County,FL
355,Hendry County,FL
356,Hernando County,FL
357,Highlands County,FL
358,Hillsborough County,FL
359,Holmes County,FL
360,Indian River County,FL
361,Jackson County,FL
362,Jefferson County,FL
363,Lafayette County,FL
364,Lake County,FL
365,Lee County,FL
366,Leon County,FL
367,Levy County,FL
368,Liberty County,FL
369,Madison County,FL
370,Manatee County,FL
371,Marion County,FL
372,Martin County,FL
373,Miami-Dade County,FL
374,Monroe County,FL
375,Nassau County,FL
376,Okaloosa County,FL
377,Okeechobee County,FL
378,Orange County,FL
379,Osceola County,FL
380,Palm Beach County,FL
381,Pasco County,FL
382,Pinellas County,FL
383,Polk County,FL
384,Putnam County,FL
385,St. Johns County,FL
386,St. Lucie County,FL
387,Santa Rosa County,FL
388,Sarasota County,FL
389,Seminole County,FL
390,Sumter County,FL
391,Suwannee County,FL
392,Taylor County,FL
393,Union County,FL
394,Volusia County,FL
395,Wakulla County,FL
396,Walton County,FL
397,Washington County,FL
398,Statewide Unallocated,GA
399,Appling County,GA
400,Atkinson County,GA
401,Bacon County,GA
402,Baker County,GA
403,Baldwin County,GA
404,Banks County,GA
405,Barrow County,GA
406,Bartow County,GA
407,Ben Hill County,GA
408,Berrien County,GA
409,Bibb County,GA
410,Bleckley County,GA
411,Brantley County,GA
412,Brooks County,GA
413,Bryan County,GA
414,Bulloch County,GA
415,Burke County,GA
416,Butts County,GA
417,Calhoun County,GA
418,Camden County,GA
419,Candler County,GA
420,Carroll County,GA
421,Catoosa County,GA
422,Charlton County,GA
423,Chatham County,GA
424,Chattahoochee County,GA
425,Chattooga County,GA
426,Cherokee County,GA
427,Clarke County,GA
428,Clay County,GA
429,Clayton County,GA
430,Clinch County,GA
431,Cobb County,GA
432,Coffee County,GA
433,Colquitt County,GA
434,Columbia County,GA
435,Cook County,GA
436,Coweta County,GA
437,Crawford County,GA
438,Crisp County,GA
439,Dade County,GA
440,Dawson County,GA
441,Decatur County,GA
442,DeKalb County,GA
443,Dodge County,GA
444,Dooly County,GA
445,Dougherty County,GA
446,Douglas County,GA
447,Early County,GA
448,Echols County,GA
449,Effingham County,GA
450,Elbert County,GA
451,Emanuel County,GA
452,Evans County,GA
453,Fannin County,GA
454,Fayette County,GA
455,Floyd County,GA
456,Forsyth County,GA
457,Franklin County,GA
458,Fulton County,GA
459,Gilmer County,GA
460,Glascock County,GA
461,Glynn County,GA
462,Gordon County,GA
463,Grady County,GA
464,Greene County,GA
465,Gwinnett County,GA
466,Habersham County,GA
467,Hall County,GA
468,Hancock County,GA
469,Haralson County,GA
470,Harris County,GA
471,Hart County,GA
472,Heard County,GA
473,Henry County,GA
474,Houston County,GA
475,Irwin County,GA
476,Jackson County,GA
477,Jasper County,GA
478,Jeff Davis County,GA
479,Jefferson County,GA
480,Jenkins County,GA
481,Johnson County,GA
482,Jones County,GA
483,Lamar County,GA
484,Lanier County,GA
485,Laurens County,GA
486,Lee County,GA
487,Liberty County,GA
488,Lincoln County,GA
489,Long County,GA
490,Lowndes County,GA
491,Lumpkin County,GA
492,McDuffie County,GA
493,McIntosh County,GA
494,Macon County,GA
495,Madison County,GA
496,Marion County,GA
497,Meriwether County,GA
498,Miller County,GA
499,Mitchell County,GA
500,Monroe County,GA
501,Montgomery County,GA
502,Morgan County,GA
503,Murray County,GA
504,Muscogee County,GA
505,Newton County,GA
506,Oconee County,GA
507,Oglethorpe County,GA
508,Paulding County,GA
509,Peach County,GA
510,Pickens County,GA
511,Pierce County,GA
512,Pike County,GA
513,Polk County,GA
514,Pulaski County,GA
515,Putnam County,GA
516,Quitman County,GA
517,Rabun County,GA
518,Randolph County,GA
519,Richmond County,GA
520,Rockdale County,GA
521,Schley County,GA
522,Screven County,GA
523,Seminole County,GA
524,Spalding County,GA
525,Stephens County,GA
526,Stewart County,GA
527,Sumter County,GA
528,Talbot County,GA
529,Taliaferro County,GA
530,Tattnall County,GA
531,Taylor County,GA
532,Telfair County,GA
533,Terrell County,GA
534,Thomas County,GA
535,Tift County,GA
536,Toombs County,GA
537,Towns County,GA
538,Treutlen County,GA
539,Troup County,GA
540,Turner County,GA
541,Twiggs County,GA
542,Union County,GA
543,Upson County,GA
544,Walker County,GA
545,Walton County,GA
546,Ware County,GA
547,Warren County,GA
548,Washington County,GA
549,Wayne County,GA
550,Webster County,GA
551,Wheeler County,GA
552,White County,GA
553,Whitfield County,GA
554,Wilcox County,GA
555,Wilkes County,GA
556,Wilkinson County,GA
557,Worth County,GA
558,Statewide Unallocated,HI
559,Hawaii County,HI
560,Honolulu County,HI
561,Kalawao County,HI
562,Kauai County,HI
563,Maui County,HI
564,Statewide Unallocated,ID
565,Ada County,ID
566,Adams County,ID
567,Bannock County,ID
568,Bear Lake County,ID
569,Benewah County,ID
570,Bingham County,ID
571,Blaine County,ID
572,Boise County,ID
573,Bonner County,ID
574,Bonneville County,ID
575,Boundary County,ID
576,Butte County,ID
577,Camas County,ID
578,Canyon County,ID
579,Caribou County,ID
580,Cassia County,ID
581,Clark County,ID
582,Clearwater County,ID
583,Custer County,ID
584,Elmore County,ID
585,Franklin County,ID
586,Fremont County,ID
587,Gem County,ID
588,Gooding County,ID
589,Idaho County,ID
590,Jefferson County,ID
591,Jerome County,ID
592,Kootenai County,ID
593,Latah County,ID
594,Lemhi County,ID
595,Lewis County,ID
596,Lincoln County,ID
597,Madison County,ID
598,Minidoka County,ID
599,Nez Perce County,ID
600,Oneida County,ID
601,Owyhee County,ID
602,Payette County,ID
603,Power County,ID
604,Shoshone County,ID
605,Teton County,ID
606,Twin Falls County,ID
607,Valley County,ID
608,Washington County,ID
609,Statewide Unallocated,IL
610,Adams County,IL
611,Alexander County,IL
612,Bond County,IL
613,Boone County,IL
614,Brown County,IL
615,Bureau County,IL
616,Calhoun County,IL
617,Carroll County,IL
618,Cass County,IL
619,Champaign County,IL
620,Christian County,IL
621,Clark County,IL
622,Clay County,IL
623,Clinton County,IL
624,Coles County,IL
625,Cook County,IL
626,Crawford County,IL
627,Cumberland County,IL
628,DeKalb County,IL
629,De Witt County,IL
630,Douglas County,IL
631,DuPage County,IL
632,Edgar County,IL
633,Edwards County,IL
634,Effingham County,IL
635,Fayette County,IL
636,Ford County,IL
637,Franklin County,IL
638,Fulton County,IL
639,Gallatin County,IL
640,Greene County,IL
641,Grundy County,IL
642,Hamilton County,IL
643,Hancock County,IL
644,Hardin County,IL
645,Henderson County,IL
646,Henry County,IL
647,Iroquois County,IL
648,Jackson County,IL
649,Jasper County,IL
650,Jefferson County,IL
651,Jersey County,IL
652,Jo Daviess County,IL
653,Johnson County,IL
654,Kane County,IL
655,Kankakee County,IL
656,Kendall County,IL
657,Knox County,IL
658,Lake County,IL
659,LaSalle County,IL
660,Lawrence County,IL
661,Lee County,IL
662,Livingston County,IL
663,Logan County,IL
664,McDonough County,IL
665,McHenry County,IL
666,McLean County,IL
667,Macon County,IL
668,Macoupin County,IL
669,Madison County,IL
670,Marion County,IL
671,Marshall County,IL
672,Mason County,IL
673,Massac County,IL
674,Menard County,IL
675,Mercer County,IL
676,Monroe County,IL
677,Montgomery County,IL
678,Morgan County,IL
679,Moultrie County,IL
680,Ogle County,IL
681,Peoria County,IL
682,Perry County,IL
683,Piatt County,IL
684,Pike County,IL
685,Pope County,IL
686,Pulaski County,IL
687,Putnam County,IL
688,Randolph County,IL
689,Richland County,IL
690,Rock Island County,IL
691,St. Clair County,IL
692,Saline County,IL
693,Sangamon County,IL
694,Schuyler County,IL
695,Scott County,IL
696,Shelby County,IL
697,Stark County,IL
698,Stephenson County,IL
699,Tazewell County,IL
700,Union County,IL
701,Vermilion County,IL
702,Wabash County,IL
703,Warren County,IL
704,Washington County,IL
705,Wayne County,IL
706,White County,IL
707,Whiteside County,IL
708,Will County,IL
709,Williamson County,IL
710,Winnebago County,IL
711,Woodford County,IL
712,Statewide Unallocated,IN
713,Adams County,IN
714,Allen County,IN
715,Bartholomew County,IN
716,Benton County,IN
717,Blackford County,IN
718,Boone County,IN
719,Brown County,IN
720,Carroll County,IN
721,Cass County,IN
722,Clark County,IN
723,Clay County,IN
724,Clinton County,IN
725,Crawford County,IN
726,Daviess County,IN
727,Dearborn County,IN
728,Decatur County,IN
729,DeKalb County,IN
730,Delaware County,IN
731,Dubois County,IN
732,Elkhart County,IN
733,Fayette County,IN
734,Floyd County,IN
735,Fountain County,IN
736,Franklin County,IN
737,Fulton County,IN
738,Gibson County,IN
739,Grant County,IN
740,Greene County,IN
741,Hamilton County,IN
742,Hancock County,IN
743,Harrison County,IN
744,Hendricks County,IN
745,Henry County,IN
746,Howard County,IN
747,Huntington County,IN
748,Jackson County,IN
749,Jasper County,IN
750,Jay County,IN
751,Jefferson County,IN
752,Jennings County,IN
753,Johnson County,IN
754,Knox County,IN
755,Kosciusko County,IN
756,LaGrange County,IN
757,Lake County,IN
758,LaPorte County,IN
759,Lawrence County,IN
760,Madison County,IN
761,Marion County,IN
762,Marshall County,IN
763,Martin County,IN
764,Miami County,IN
765,Monroe County,IN
766,Montgomery County,IN
767,Morgan County,IN
768,Newton County,IN
769,Noble County,IN
770,Ohio County,IN
771,Orange County,IN
772,Owen County,IN
773,Parke County,IN
774,Perry County,IN
775,Pike County,IN
776,Porter County,IN
777,Posey County,IN
778,Pulaski County,IN
779,Putnam County,IN
780,Randolph County,IN
781,Ripley County,IN
782,Rush County,IN
783,St. Joseph County,IN
784,Scott County,IN
785,Shelby County,IN
786,Spencer County,IN
787,Starke County,IN
788,Steuben County,IN
789,Sullivan County,IN
790,Switzerland County,IN
791,Tippecanoe County,IN
792,Tipton County,IN
793,Union County,IN
794,Vanderburgh County,IN
795,Vermillion County,IN
796,Vigo County,IN
797,Wabash County,IN
798,Warren County,IN
799,Warrick County,IN
800,Washington County,IN
801,Wayne County,IN
802,Wells County,IN
803,White County,IN
804,Whitley County,IN
805,Statewide Unallocated,IA
806,Adair County,IA
807,Adams County,IA
808,Allamakee County,IA
809,Appanoose County,IA
810,Audubon County,IA
811,Benton County,IA
812,Black Hawk County,IA
813,Boone County,IA
814,Bremer County,IA
815,Buchanan County,IA
816,Buena Vista County,IA
817,Butler County,IA
818,Calhoun County,IA
819,Carroll County,IA
820,Cass County,IA
821,Cedar County,IA
822,Cerro Gordo County,IA
823,Cherokee County,IA
824,Chickasaw County,IA
825,Clarke County,IA
826,Clay County,IA
827,Clayton County,IA
828,Clinton County,IA
829,Crawford County,IA
830,Dallas County,IA
831,Davis County,IA
832,Decatur County,IA
833,Delaware County,IA
834,Des Moines County,IA
835,Dickinson County,IA
836,Dubuque County,IA
837,Emmet County,IA
838,Fayette County,IA
839,Floyd County,IA
840,Franklin County,IA
841,Fremont County,IA
842,Greene County,IA
843,Grundy County,IA
844,Guthrie County,IA
845,Hamilton County,IA
846,Hancock County,IA
847,Hardin County,IA
848,Harrison County,IA
849,Henry County,IA
850,Howard County,IA
851,Humboldt County,IA
852,Ida County,IA
853,Iowa County,IA
854,Jackson County,IA
855,Jasper County,IA
856,Jefferson County,IA
857,Johnson County,IA
858,Jones County,IA
859,Keokuk County,IA
860,Kossuth County,IA
861,Lee County,IA
862,Linn County,IA
863,Louisa County,IA
864,Lucas County,IA
865,Lyon County,IA
866,Madison County,IA
867,Mahaska County,IA
868,Marion County,IA
869,Marshall County,IA
870,Mills County,IA
871,Mitchell County,IA
872,Monona County,IA
873,Monroe County,IA
874,Montgomery County,IA
875,Muscatine County,IA
876,O'Brien County,IA
877,Osceola County,IA
878,Page County,IA
879,Palo Alto County,IA
880,Plymouth County,IA
881,Pocahontas County,IA
882,Polk County,IA
883,Pottawattamie County,IA
884,Poweshiek County,IA
885,Ringgold County,IA
886,Sac County,IA
887,Scott County,IA
888,Shelby County,IA
889,Sioux County,IA
890,Story County,IA
891,Tama County,IA
892,Taylor County,IA
893,Union County,IA
894,Van Buren County,IA
895,Wapello County,IA
896,Warren County,IA
897,Washington County,IA
898,Wayne County,IA
899,Webster County,IA
900,Winnebago County,IA
901,Winneshiek County,IA
902,Woodbury County,IA
903,Worth County,IA
904,Wright County,IA
905,Statewide Unallocated,KS
906,Allen County,KS
907,Anderson County,KS
908,Atchison County,KS
909,Barber County,KS
910,Barton County,KS
911,Bourbon County,KS
912,Brown County,KS
913,Butler County,KS
914,Chase County,KS
915,Chautauqua County,KS
916,Cherokee County,KS
917,Cheyenne County,KS
918,Clark County,KS
919,Clay County,KS
920,Cloud County,KS
921,Coffey County,KS
922,Comanche County,KS
923,Cowley County,KS
924,Crawford County,KS
925,Decatur County,KS
926,Dickinson County,KS
927,Doniphan County,KS
928,Douglas County,KS
929,Edwards County,KS
930,Elk County,KS
931,Ellis County,KS
932,Ellsworth County,KS
933,Finney County,KS
934,Ford County,KS
935,Franklin County,KS
936,Geary County,KS
937,Gove County,KS
938,Graham County,KS
939,Grant County,KS
940,Gray County,KS
941,Greeley County,KS
942,Greenwood County,KS
943,Hamilton County,KS
944,Harper County,KS
945,Harvey County,KS
946,Haskell County,KS
947,Hodgeman County,KS
948,Jackson County,KS
949,Jefferson County,KS
950,Jewell County,KS
951,Johnson County,KS
952,Kearny County,KS
953,Kingman County,KS
954,Kiowa County,KS
955,Labette County,KS
956,Lane County,KS
957,Leavenworth County,KS
958,Lincoln County,KS
959,Linn County,KS
960,Logan County,KS
961,Lyon County,KS
962,McPherson County,KS
963,Marion County,KS
964,Marshall County,KS
965,Meade County,KS
966,Miami County,KS
967,Mitchell County,KS
968,Montgomery County,KS
969,Morris County,KS
970,Morton County,KS
971,Nemaha County,KS
972,Neosho County,KS
973,Ness County,KS
974,Norton County,KS
975,Osage County,KS
976,Osborne County,KS
977,Ottawa County,KS
978,Pawnee County,KS
979,Phillips County,KS
980,Pottawatomie County,KS
981,Pratt County,KS
982,Rawlins County,KS
983,Reno County,KS
984,Republic County,KS
985,Rice County,KS
986,Riley County,KS
987,Rooks County,KS
988,Rush County,KS
989,Russell County,KS
990,Saline County,KS
991,Scott County,KS
992,Sedgwick County,KS
993,Seward County,KS
994,Shawnee County,KS
995,Sheridan County,KS
996,Sherman County,KS
997,Smith County,KS
998,Stafford County,KS
999,Stanton County,KS
1000,Stevens County,KS
1001,Sumner County,KS
1002,Thomas County,KS
1003,Trego County,KS
1004,Wabaunsee County,KS
1005,Wallace County,KS
1006,Washington County,KS
1007,Wichita County,KS
1008,Wilson County,KS
1009,Woodson County,KS
1010,Wyandotte County,KS
1011,Statewide Unallocated,KY
1012,Adair County,KY
1013,Allen County,KY
1014,Anderson County,KY
1015,Ballard County,KY
1016,Barren County,KY
1017,Bath County,KY
1018,Bell County,KY
1019,Boone County,KY
1020,Bourbon County,KY
1021,Boyd County,KY
1022,Boyle County,KY
1023,Bracken County,KY
1024,Breathitt County,KY
1025,Breckinridge County,KY
1026,Bullitt County,KY
1027,Butler County,KY
1028,Caldwell County,KY
1029,Calloway County,KY
1030,Campbell County,KY
1031,Carlisle County,KY
1032,Carroll County,KY
1033,Carter County,KY
1034,Casey County,KY
1035,Christian County,KY
1036,Clark County,KY
1037,Clay County,KY
1038,Clinton County,KY
1039,Crittenden County,KY
1040,Cumberland County,KY
1041,Daviess County,KY
1042,Edmonson County,KY
1043,Elliott County,KY
1044,Estill County,KY
1045,Fayette County,KY
1046,Fleming County,KY
1047,Floyd County,KY
1048,Franklin County,KY
1049,Fulton County,KY
1050,Gallatin County,KY
1051,Garrard County,KY
1052,Grant County,KY
1053,Graves County,KY
1054,Grayson County,KY
1055,Green County,KY
1056,Greenup County,KY
1057,Hancock County,KY
1058,Hardin County,KY
1059,Harlan County,KY
1060,Harrison County,KY
1061,Hart County,KY
1062,Henderson County,KY
1063,Henry County,KY
1064,Hickman County,KY
1065,Hopkins County,KY
1066,Jackson County,KY
1067,Jefferson County,KY
1068,Jessamine County,KY
1069,Johnson County,KY
1070,Kenton County,KY
1071,Knott County,KY
1072,Knox County,KY
1073,Larue County,KY
1074,Laurel County,KY
1075,Lawrence County,KY
1076,Lee County,KY
1077,Leslie County,KY
1078,Letcher County,KY
1079,Lewis County,KY
1080,Lincoln County,KY
1081,Livingston County,KY
1082,Logan County,KY
1083,Lyon County,KY
1084,McCracken County,KY
1085,McCreary County,KY
1086,McLean County,KY
1087,Madison County,KY
1088,Magoffin County,KY
1089,Marion County,KY
1090,Marshall County,KY
1091,Martin County,KY
1092,Mason County,KY
1093,Meade County,KY
1094,Menifee County,KY
1095,Mercer County,KY
1096,Metcalfe County,KY
1097,Monroe County,KY
